# Catalogo dei tipi di aeromobile: da designatore ICAO al modello.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aerei.csv, che vince sempre su questo.
#
# Fonte: ICAO Doc 8643, copia rikgale/ICAOList.
# 2767 voci.
A002,A-002,Irkut A-002
AG02,AG-02 Poussin,Gatard AG-02 Poussin
AG1,Apollo AG-1 Gyro,Halley Apollo AG-1 Gyro
AG10,AG-100,Caiga AG-100
AG60,AG-600 Kunlong,Caiga AG-600 Kunlong
AGSH,Sea Hawker,Aero Gare Sea Hawker
AI10,Ai-10 Ikar,Ikar Ai-10 Ikar
AIGT,J-5F Aiglet Trainer,Auster J-5F Aiglet Trainer
AIRD,A-109 Airedale,Beagle-Auster A-109 Airedale
AIRL,Airelle,Aeronix Airelle
AJ27,ARJ-21-700,Comac ARJ-21-700
AJET,Alpha Jet,Dassault-Dornier Alpha Jet
AK1,Akaflieg Karlsruhe,Akaflieg Karlsruhe AK-1
AKOY,Akoya,Lisa Akoya
AKRO,Stephens Akro,Stephens Akro
ALBU,Alaskan Bushmaster,Aviation Development Alaskan Bushmaster
ALC1,AC-11,Altair Coelho AC-11
ALGR,Allegro,Fantasy Air Allegro
ALH,ALH Dhruv,Hindustan ALH Dhruv
ALIG,LS-1 Lightning,Arion LS-1 Lightning
ALIZ,1050 Alizé,Breguet 1050 Alizé
ALO2,Alouette 2,Aerospatiale Alouette 2
ALO3,Alouette 3,Aerospatiale Alouette 3
ALPI,J-5R Alpine,Auster J-5R Alpine
ALSL,Skylane,Airlony Skylane
ALTO,Direct Fly Alto,Direct Fly Alto
AM3,Aeritalia-Aermacchi,Aeritalia-Aermacchi AM-3
AMX,AMX AMX,AMX AMX
AN12,An-12,Antonov An-12
AN2,Antonov An-2,Antonov An-2
AN22,An-22 Antheus,Antonov An-22 Antheus
AN24,An-24,Antonov An-24
AN26,An-26,Antonov An-26
AN28,An-28,Antonov An-28
AN3,Antonov An-3,Antonov An-3
AN30,An-30,Antonov An-30
AN32,An-32,Antonov An-32
AN38,An-38,Antonov An-38
AN70,An-70,Antonov An-70
AN72,An-72,Antonov An-72
AN8,Antonov An-8,Antonov An-8
ANGL,44 Angel,King'S 44 Angel
ANKA,TAI Anka,TAI Anka
ANSN,652 Anson,Avro 652 Anson
ANST,Ansat,Kazan Ansat
AP20,Aeroprakt A-20,Aeroprakt A-20
AP22,Aeroprakt A-22,Aeroprakt A-22
AP24,A-24 Viking,Aeroprakt A-24 Viking
AP26,A-26 Twin Vista,Aeroprakt A-26 Twin Vista
AP28,A-28 Victor,Aeroprakt A-28 Victor
AP32,A-32 Vixxen,Aeroprakt A-32 Vixxen
AP36,A-36 Vulcan,Aeroprakt A-36 Vulcan
APM2,APM-20 Lionceau,Issoire APM-20 Lionceau
APM3,APM-30 Lion,Issoire APM-30 Lion
APM4,APM-40 Simba,Issoire APM-40 Simba
APUP,Aeropup,Aeropup Aeropup
AR1,AR-1 American,Silverlight AR-1 American Ranger 1
AR11,11 Chief,Aeronca 11 Chief
AR15,15 Sedan,Aeronca 15 Sedan
AR50,50 Chief,Aeronca 50 Chief
AR5T,50 Tandem,Aeronca 50 Tandem
AR65,65 Super Chief,Aeronca 65 Super Chief
AR6T,60 Tandem,Aeronca 60 Tandem
AR79,Ar-79,Arado Ar-79
ARC3,3 Collegain,Aeronca 3 Collegain
ARCE,Arcus E,Schempp-Hirth Arcus E
ARCP,Arcus T,Schempp-Hirth Arcus T
ARES,Scaled Ares,Scaled Ares
ARKS,A-200 Aeriks 200,Aceair A-200 Aeriks 200
ARON,F-220 Airone,General Avia F-220 Airone
ARV1,Super 2,ARV Super 2
ARVA,201 Arava,IAI 201 Arava
ARWF,F Sport,Arrow (1) F Sport
AS02,AS-202-15 Bravo,FFA AS-202-15 Bravo
AS14,ASK-14,Schleicher ASK-14
AS16,ASK-16,Schleicher ASK-16
AS20,ASW-20TOP,Schleicher ASW-20TOP
AS21,ASK-21Mi,Schleicher ASK-21Mi
AS22,ASW-22M,Schleicher ASW-22M
AS24,ASW-24E,Schleicher ASW-24E
AS25,ASH-25M,Schleicher ASH-25M
AS26,ASH-26E,Schleicher ASH-26E
AS28,ASW-28E,Schleicher ASW-28E
AS29,ASG-29E,Schleicher ASG-29E
AS2T,AS-202-32TP Turbine,FFA AS-202-32TP Turbine Bravo
AS30,ASH-30Mi,Schleicher ASH-30Mi
AS31,ASH-31Mi,Schleicher ASH-31Mi
AS32,AS-532 Cougar,Aerospatiale AS-532 Cougar
AS3B,AS-532A2 Cougar Mk2,Aerospatiale AS-532A2 Cougar Mk2
AS50,AS-350 Ecureuil,Aerospatiale AS-350 Ecureuil
AS55,AS-355 Ecureuil 2,Aerospatiale AS-355 Ecureuil 2
AS65,AS-365 Dauphin 2,Aerospatiale AS-365 Dauphin 2
AS80,AS-80 Holiday,Starck AS-80 Holiday
ASO4,Asso 4 Whisky,Asso Aerei Asso 4 Whisky
ASO5,Asso 5 Champion,Asso Aerei Asso 5 Champion
ASOX,Asso 10 Jewel,Asso Aerei Asso 10 Jewel
ASTO,Astore,Tecnam Astore
ASTR,1125 Astra,IAI 1125 Astra
AT2P,AT-250,Air Tractor AT-250
AT3,AT-3 Tzu-Chung,AIDC AT-3 Tzu-Chung
AT3P,AT-300,Air Tractor AT-300
AT3T,AT-302,Air Tractor AT-302
AT43,ATR-42-300,ATR ATR-42-300
AT44,ATR-42-400,ATR ATR-42-400
AT45,ATR-42-500,ATR ATR-42-500
AT46,ATR-42-600,ATR ATR-42-600
AT5P,AT-501,Air Tractor AT-501
AT5T,AT-502,Air Tractor AT-502
AT6T,AT-602,Air Tractor AT-602
AT72,ATR-72-201,ATR ATR-72-201
AT73,ATR-72-211,ATR ATR-72-211
AT75,ATR-72-212A (500),ATR ATR-72-212A (500)
AT76,ATR-72-212A (600),ATR ATR-72-212A (600)
AT8T,AT-802,Air Tractor AT-802
ATAC,Acro 1,Aircraft Technologies Acro 1
ATG1,ATG-1 Javelin,ATG ATG-1 Javelin
ATIS,Atlantis,Aircraft Technologies Atlantis
ATL,Robin ATL,Robin ATL
ATLA,Atlantique 2,Dassault Atlantique 2
ATP,British Aerospace,British Aerospace ATP
AU11,Auster AOP11,Beagle-Auster Auster AOP11
AUJ2,J-2 Arrow,Auster J-2 Arrow
AUJ4,J-4 Archer,Auster J-4 Archer
AURA,SA60 Aurora,Sunward SA60 Aurora
AUS3,Auster 3,Taylorcraft (2) Auster 3
AUS4,Auster 4,Taylorcraft (2) Auster 4
AUS5,Auster 5,Taylorcraft (2) Auster 5
AUS6,Auster AOP6,Auster Auster AOP6
AUS7,Auster T7,Auster Auster T7
AUS9,Auster AOP9,Auster Auster AOP9
AV68,AVO-68 Samburo,Alpla AVO-68 Samburo
AVAM,Avid Amphibian,Avid Avid Amphibian
AVID,Avid Flyer,Light Aero Avid Flyer
AVIN,594 Avian,Avro 594 Avian
AVK4,Avtek 400,Avtek 400
AVLN,Avalon 680,Airmaster Avalon 680
AVTR,Aventura 2,Aero Adventure Aventura 2
B06,206B JetRanger,Bell 206B JetRanger
B06T,206LT TwinRanger,Bell 206LT TwinRanger
B1,B-1 Lancer,Rockwell B-1 Lancer
B103,Be-103 Bekas,Beriev Be-103 Bekas
B105,BO-105,MBB BO-105
B13,Akaflieg Berlin,Akaflieg Berlin B-13
B14A,14 Cruisair,Bellanca 14 Cruisair
B14B,14 Bellanca 260,Downer 14 Bellanca 260
B14C,14 Bellanca 260C,Bellanca 14 Bellanca 260C
B150,B-150,Winner B-150
B17,B-17 Flying Fortres,Boeing B-17 Flying Fortress
B18T,18 (turbine),Beech 18 (turbine)
B190,Beech 1900,Beech 1900
B2,B-2 Spirit,Northrop Grumman B-2 Spirit
B209,BO-209 Monsun,MBB BO-209 Monsun
B212,Bell 212,Bell 212
B214,Bell 214B,Bell 214B
B222,Bell 222,Bell 222
B23,B-23 Dragon,Douglas B-23 Dragon
B230,Bell 230,Bell 230
B23E,Bristell B23,Brm Aero Bristell B23 Energic
B24,B-24 Liberator,Consolidated B-24 Liberator
B25,B-25 Mitchell,North American B-25 Mitchell
B26,B-26 Invader,Douglas B-26 Invader
B26M,B-26 Marauder,Martin B-26 Marauder
B29,B-29 Superfortress,Boeing B-29 Superfortress
B305,Brantly 305,Brantly 305
B350,Super King Air 350,Beech Super King Air 350
B360,Bear 360,Yakovlev Aircraft Bear 360
B36T,36 Bonanza (turbine,Beech 36 Bonanza (turbine)
B37M,737 MAX 7,Boeing 737 MAX 7
B38M,737 MAX 8,Boeing 737 MAX 8
B39M,737 MAX 9,Boeing 737 MAX 9
B3XM,737 MAX 10,Boeing 737 MAX 10
B407,Bell 407,Bell 407
B412,Bell 412,Bell 412
B427,Bell 427,Bell 427
B429,429 GlobalRanger,Bell 429 GlobalRanger
B430,Bell 430,Bell 430
B461,BAe-146-100,British Aerospace BAe-146-100
B462,BAe-146-200,British Aerospace BAe-146-200
B463,BAe-146-300,British Aerospace BAe-146-300
B47G,Bell 47G,Bell 47G
B47J,47J Ranger,Bell 47J Ranger
B47T,Bell 47,Soloy Bell 47
B505,505 Jet Ranger X,Bell 505 Jet Ranger X
B52,B-52 Stratofortress,Boeing B-52 Stratofortress
B525,525 Relentless,Bell 525 Relentless
B58T,58P Pressurized,Beech 58P Pressurized Baron
B60,B-60 Mercurey,Boisavia B-60 Mercurey
B609,BA-609,Bell-Agusta BA-609
B60T,60 Royal Turbine,Beech 60 Royal Turbine Duke
B701,707-100,Boeing 707-100
B703,707-300,Boeing 707-300
B712,717-200,Boeing 717-200
B720,Boeing 720,Boeing 720
B721,727-100,Boeing 727-100
B722,727-200,Boeing 727-200
B732,737-200,Boeing 737-200
B733,737-300,Boeing 737-300
B734,737-400,Boeing 737-400
B735,737-500,Boeing 737-500
B736,737-600,Boeing 737-600
B737,737-700,Boeing 737-700
B738,737-800,Boeing 737-800
B739,737-900,Boeing 737-900
B741,747-100,Boeing 747-100
B742,747-200,Boeing 747-200
B743,747-300,Boeing 747-300
B744,747-400,Boeing 747-400
B748,747-8,Boeing 747-8
B74R,747SR,Boeing 747SR
B74S,747SP,Boeing 747SP
B752,757-200,Boeing 757-200
B753,757-300,Boeing 757-300
B762,767-200,Boeing 767-200
B763,767-300,Boeing 767-300
B764,767-400,Boeing 767-400
B772,777-200ER,Boeing 777-200ER
B773,777-300,Boeing 777-300
B778,777-8,Boeing 777-8
B779,777-9,Boeing 777-9
B77L,777-200LR,Boeing 777-200LR
B77W,777-300ER,Boeing 777-300ER
B788,787-8 Dreamliner,Boeing 787-8 Dreamliner
B789,787-9 Dreamliner,Boeing 787-9 Dreamliner
B78X,787-10 Dreamliner,Boeing 787-10 Dreamliner
BA11,111 One-Eleven,BAC 111 One-Eleven
BABY,Baby Belle,Canadian Home Rotors Baby Belle
BALL,Balloon,(Any Manufacturer) Balloon
BAR6,BarrSix,Barr BarrSix
BARC,Barracuda,Buethe Barracuda
BASS,B-206,Beagle B-206
BBAT,BA-100 Aerobat,Bradley BA-100 Aerobat
BBIR,Beta Bird,Hovey Beta Bird
BCA3,CA-3 Sport Airsedan,Buhl CA-3 Sport Airsedan
BCAT,F8F Bearcat,Grumman F8F Bearcat
BCS1,A-220-100,Airbus A-220-100
BCS3,A-220-300,Airbus A-220-300
BD10,BD-10,Bede BD-10
BD12,BD-12,Bede BD-12
BD17,BD-17 Nuggett,Bede BD-17 Nuggett
BD4,Bede BD-4,Bede BD-4
BD5,Micro (BD-5B/D/G),Bede Micro (BD-5B/D/G)
BD5J,BD-5J Micro,Bede BD-5J Micro
BD5T,BD-5TP Micro,Bede BD-5TP Micro
BDOG,SA-3 Bulldog,Scottish Aviation SA-3 Bulldog
BE10,100 King Air,Beech 100 King Air
BE12,Be-12 Tchaika,Beriev Be-12 Tchaika
BE17,17 Staggerwing,Beech 17 Staggerwing
BE18,18 (piston),Beech 18 (piston)
BE19,19 Musketeer Sport,Beech 19 Musketeer Sport
BE20,200 King Air 250,Beechcraft 200 King Air 250
BE22,220 Denali,Beechcraft 220 Denali
BE23,23 Musketeer,Beech 23 Musketeer
BE24,24 Musketeer Super,Beech 24 Musketeer Super
BE30,300 Super King Air,Raytheon 300 Super King Air
BE32,Be-32,Beriev Be-32
BE33,33 Bonanza,Beech 33 Bonanza
BE35,35 Bonanza,Beech 35 Bonanza
BE36,36 Bonanza 36,Beech 36 Bonanza 36
BE40,Hawker 400XP,Raytheon Hawker 400XP
BE4W,Hawker 400XT,Raytheon Hawker 400XT
BE50,50 Twin Bonanza,Beech 50 Twin Bonanza
BE55,55 Baron,Beech 55 Baron
BE56,56 Turbo Baron,Beech 56 Turbo Baron
BE58,58 Baron,Raytheon 58 Baron
BE60,60 Duke,Beech 60 Duke
BE65,65 Queen Air,Beech 65 Queen Air
BE70,70 Queen Air,Beech 70 Queen Air
BE76,76 Duchess,Beech 76 Duchess
BE77,77 Skipper,Beech 77 Skipper
BE80,80 Queen Air,Beech 80 Queen Air
BE88,88 Queen Air,Beech 88 Queen Air
BE95,95 Travel Air,Beech 95 Travel Air
BE99,99 Airliner,Beech 99 Airliner
BE9L,90 King Air,Beech 90 King Air
BE9T,90 (F90) King Air,Beech 90 (F90) King Air
BEAR,RB-4 Bearhawk,Avipro RB-4 Bearhawk
BELF,SC-5 Belfast,Short SC-5 Belfast
BER2,Be-200 Altair,Beriev Be-200 Altair
BER4,A-40 Albatross,Beriev A-40 Albatross
BETA,Rollason Beta,Rollason Beta
BEVR,Beaver,Asap Beaver
BF19,Bf-109G-2,Podesva Bf-109G-2
BFIT,F-2B Fighter,Bristol F-2B Fighter Replica
BILO,Bilouis,Pena Bilouis
BIPL,Biplane,EAA Biplane
BIRD,TA-2 Bird,Taylor (3) TA-2 Bird
BISC,Sky Cruiser,Bilsam Sky Cruiser
BK17,BK-117,Mbb-Kawasaki BK-117
BKUT,Berkut,Berkut Berkut
BL11,11 Replica,Bleriot 11 Replica
BL17,17 Viking,Bellanca 17 Viking
BL19,19 Skyrocket,Bellanca 19 Skyrocket
BL8,8 Scout,Bellanca 8 Scout
BLBU,Altania,Ameur Altania
BLCF,747-400LCF Dreamlif,Boeing 747-400LCF Dreamlifter
BLEN,149 Blenheim,Bristol 149 Blenheim
BLKS,Baby Lakes,Aircraft Spruce Baby Lakes
BM6,BM-6 Lark,Maranda BM-6 Lark
BMAN,Bushman,AAK Bushman
BN2P,BN-2 Islander,Britten-Norman BN-2 Islander
BN2T,BN-2T Turbine,Britten-Norman BN-2T Turbine Islander
BO40,Boeing 40,Boeing 40
BOLT,Skybolt,Steen Skybolt
BOOM,202 Boomerang,Rutan 202 Boomerang
BPAT,Bearhawk Patrol,R & B Bearhawk Patrol
BPOD,367 BiPod,Scaled 367 BiPod
BPUM,Bdc Aero Puma,Bdc Aero Puma
BR14,14 Replica,Breguet 14 Replica
BR23,Bristell B23,Brm Aero Bristell B23
BR54,BRC-540,Barnett BRC-540
BR60,Brumby 600,Brumby 600
BR61,610 Evolution,Brumby 610 Evolution
BR8,Bristell B8,Brm Aero Bristell B8
BRAV,P-2004 Bravo,Tecnam P-2004 Bravo
BRB2,Brantly B-2,Brantly B-2
BREZ,Breezer,Aerostyle Breezer
BROU,MH-1521 Broussard,Max Holste MH-1521 Broussard
BS60,60 Marquis,Beech-Sferma 60 Marquis
BSTP,214ST SuperTranspor,Bell 214ST SuperTransport
BT36,B36TC Bonanza,Beech B36TC Bonanza
BT7,T-7 Red Hawk,Boeing T-7 Red Hawk
BTB2,Bayraktar TB2,Baykar Bayraktar TB2
BTUB,Dormoy Bathtub,Kimbrel Dormoy Bathtub
BU20,Bushmaster 2000,Aircraft Hydro-Forming Bushmaster 2000
BU31,Bü-131 Jungmann,Bucker Bü-131 Jungmann
BU33,Bü-133 Jungmeister,Bucker Bü-133 Jungmeister
BU81,Bü-181 Bestmann,Bucker Bü-181 Bestmann
BUC,Buccaneer,Hawker Siddeley Buccaneer
BUCA,Buccaneer,Advanced Aviation Buccaneer
BULT,BJ-520 Bullet,Brokaw BJ-520 Bullet
BUSH,BushCat,Rainbow Skyreach BushCat
BW60,BW-600,Blackwing BW-600
BW6T,BW-635,Blackwing BW-635
BX2,BX-2 Cherry,Brandli BX-2 Cherry
C02T,402 (turbine),Cessna 402 (turbine)
C04T,404 (turbine),Cessna 404 (turbine)
C06T,206 (turbine),Cessna 206 (turbine)
C07T,207 (turbine),Cessna 207 (turbine)
C08T,208 Dual-Pac,Soloy 208 Dual-Pac Caravan
C1,Kawasaki C-1,Kawasaki C-1
C101,C-101 Aviojet,CASA C-101 Aviojet
C10T,P210 (turbine),Cessna P210 (turbine)
C119,C-119 Flying Boxcar,Fairchild (1) C-119 Flying Boxcar
C120,Cessna 120,Cessna 120
C123,C-123 Provider,Fairchild (1) C-123 Provider
C125,C-125 Raider,Northrop C-125 Raider
C130,C-130H Hercules,Lockheed C-130H Hercules
C135,WC-135,Boeing WC-135
C140,Cessna 140,Cessna 140
C141,C-141 Starlifter,Lockheed C-141 Starlifter
C14T,414 (turbine),Cessna 414 (turbine)
C15,YC-15,McDonnell Douglas YC-15
C150,A150 Aerobat,Cessna A150 Aerobat
C152,A152 Aerobat,Cessna A152 Aerobat
C160,C-160,Transall C-160
