# Catalogo dei tipi di aeromobile: da designatore ICAO al modello.
#
#   codice[/codice],forma breve,nome completo
#
# Questo file NON e' tuo: viene rifatto a ogni aggiornamento
# e le modifiche andrebbero perse. Le tue correzioni vanno in
# aerei.csv, che vince sempre su questo.
#
# Fonte: ICAO Doc 8643, copia rikgale/ICAOList.
# 2767 voci.
A002,A-002,Irkut A-002
C97,C-97 Stratofreighte,Boeing C-97 Stratofreighter
CA12,CA-12 Comp Air 12,Comp Air CA-12 Comp Air 12
CA19,CA-19 Boomerang,Commonwealth (1) CA-19 Boomerang
CA1P,CA-10 Comp Air 10,Aerocomp CA-10 Comp Air 10
CA1T,CA-10T Comp Air 10T,Aerocomp CA-10T Comp Air 10T
CA25,CA-25 Winjeel,Commonwealth (1) CA-25 Winjeel
CA3,CA-3 Comp Air 3,Aerocomp CA-3 Comp Air 3
CA4,CA-4 Comp Air 4,Aerocomp CA-4 Comp Air 4
CA41,CA-41 Racer,Corvus CA-41 Racer
CA6,CA-6 Comp Air 6,Aerocomp CA-6 Comp Air 6
CA61,CA-61 Mini Ace,Cvjetkovic CA-61 Mini Ace
CA65,CA-65 Skyfly,Cvjetkovic CA-65 Skyfly
CA7P,CA-7P Comp Air 7P,Aerocomp CA-7P Comp Air 7P
CA7T,CA-7T Comp Air 7T,Aerocomp CA-7T Comp Air 7T
CA8,CA-8 Comp Air 8,Comp Air CA-8 Comp Air 8
CA9,CA-9 Comp Air 9,Comp Air CA-9 Comp Air 9
CABI,Carbon Bird,Universal Composite Carbon Bird
CABN,Cabinaire,Paramount Cabinaire
CAD2,Bush Caddy R-120,Class Bush Caddy R-120
CAD4,Bush Caddy L-160,Class Bush Caddy L-160
CAJ,CA-J Comp Air Jet,Aerocomp CA-J Comp Air Jet
CAML,Camel Replica,Sopwith Camel Replica
CAMP,GN-1 Aircamper,Grega GN-1 Aircamper
CAN4,Campana AN-4,Campana AN-4
CAPL,Capella,Capella Capella
CAR,Aerocar,Aerocar Aerocar
CARV,ATL-98 Carvair,Aviation Traders ATL-98 Carvair
CASS,Special,Cassutt Special
CAT,PBY Catalina,Consolidated PBY Catalina
CAT1,MPA Aerocat SR,Creative Flight MPA Aerocat SR
CAT2,MPA Aerocat TR,Creative Flight MPA Aerocat TR
CAW,Cessna AW,Cessna AW
CB1,CB-1 Biplane,Hatz CB-1 Biplane
CC11,CC-11 Carbon Cub,Cub Crafters CC-11 Carbon Cub
CC19,CC-19 XCub,Cub Crafters CC-19 XCub
CD2,CD-2 Seastar,Claudius Dornier CD-2 Seastar
CDC6,Cessna DC-6,Cessna DC-6
CDUS,Calidus,Rotorsport Calidus
CDW1,Chilton DW-1,Chilton DW-1
CE15,Che-15,Chernov Che-15
CE22,Che-22 Corvette,Chernov Che-22 Corvette
CE23,Che-23,Chernov Che-23
CE25,Che-25,Chernov Che-25
CE27,Che-27,Chernov Che-27
CE43,CE-43 Guepard,Cerva CE-43 Guepard
CEGL,Eagle 300,Celair Eagle 300
CELR,Celerity,Mirage Celerity
CENT,100 Centennial,Found 100 Centennial
CFRE,Freedom,Colyaer Freedom
CG3,G-3 Replica,Caudron G-3 Replica
CGAN,Gannet,Colyaer Gannet
CH1,A-CH-1 Chung-Tsing,AIDC A-CH-1 Chung-Tsing
CH10,CH-100 Mono-Zénith,Zenair CH-100 Mono-Zénith
CH12,CH-12,Cicare CH-12
CH14,CH-14 Aguilucho,Cicare CH-14 Aguilucho
CH15,CH-150 Acro-Zénith,Zenair CH-150 Acro-Zénith
CH18,CH-180 Super,Zenair CH-180 Super Acro-Zénith
CH20,CH-200 Zénith,Zenair CH-200 Zénith
CH25,CH-250 Zénith,Zenair CH-250 Zénith
CH2T,CH-2000 Zénith,Zenair CH-2000 Zénith
CH3,CH-3 Super Ace,Chrislea CH-3 Super Ace
CH30,CH-300 Tri-Zénith,Zenair CH-300 Tri-Zénith
CH40,402 Lancer,Champion 402 Lancer
CH50,CH-50 Mini Zénith,Zenair CH-50 Mini Zénith
CH60,CH-600 Zodiac,Zenair CH-600 Zodiac
CH62,CH-620 Gemini,Zenair CH-620 Gemini
CH64,CH-640 Zodiac,Zenair CH-640 Zodiac
CH65,CH-650 Zodiac,AMD CH-650 Zodiac
CH7,CH-7 Kompress,Heli-Sport CH-7 Kompress
CH70,CH-701 Stol,Zenair CH-701 Stol
CH75,CH-750 Cruzer,Zenair CH-750 Cruzer
CH7A,7AC Champion,Aeronca 7AC Champion
CH7B,7GCBC Citabria,American Champion 7GCBC Citabria High Country Explorer
CH80,CH-801 Stol,Zenair CH-801 Stol
CHAN,Chanute,Cadcor Chanute
CHCS,Choucas,Alpaero Choucas
CHGO,CHK-91 Chang-Gong,Korean Air CHK-91 Chang-Gong 91
CHIC,Chico,Podesva Chico
CHIF,Chief,Pawnee Chief
CHIN,Chinook,Asap Chinook
CHIP,Super-Chipmunk,Leger Super-Chipmunk
CHR1,CA-05 Christavia,Elmwood CA-05 Christavia Mk1
CHR4,CH-8 Christavia Mk4,Elmwood CH-8 Christavia Mk4
CHSY,Sycamore,Chayair Sycamore
CICA,SkyWind,Hydroplane SkyWind
CJ1,CJ-1 Starlet,Corby CJ-1 Starlet
CJ6,Nanchang CJ-6,Nanchang CJ-6
CKUO,F-CK-1 Ching-Kuo,AIDC F-CK-1 Ching-Kuo
CL2P,CL-215,Canadair CL-215
CL2T,CL-415,Canadair CL-415
CL30,Challenger 300,Bombardier Challenger 300
CL35,Challenger 350,Bombardier Challenger 350
CL41,CL-41 Tutor,Canadair CL-41 Tutor
CL4G,CL-44-O Guppy,Canadair CL-44-O Guppy
CL60,Challenger 600,Canadair Challenger 600
CL8,CL-8 RSA Club,Carriou CL-8 RSA Club
CLA,Callair A-2,Callair A-2
CLB1,B-1 Ag Commander,Aero Commander B-1 Ag Commander
CLBR,Celebrity,Fisher Aero Celebrity
CLD2,Cloud Dancer 2,Rotortec Cloud Dancer 2
CLDS,Cloudster,Rearwin Cloudster
CLON,Cavalon,Rotorsport Cavalon
CMA3,Martin 3,Colyaer Martin 3
CMAS,C-165 Airmaster,Cessna C-165 Airmaster
CMDE,Commander Elite,Air Command Commander Elite Side-by-Side
CMDT,Commander Elite,Air Command Commander Elite Tandem
CN12,Nieuport 12-7/8,Circa Nieuport 12-7/8
CN35,CN-235 Persuader,CASA CN-235 Persuader
CNBR,Canberra,English Electric Canberra
CNDR,F-20TP Condor,General Avia F-20TP Condor
CNGP,Cessna NGP,Cessna NGP
CNUK,80 Canuck,Fleet 80 Canuck
CO50,Co-50 Valkyrie,Cobalt Co-50 Valkyrie
COAR,Arrow,Cobra Arrow
COBR,Cobra,Deborde-Rolland Cobra
COL3,350 Corvalis,Cessna 350 Corvalis
COL4,400 Corvalis TT,Cessna 400 Corvalis TT
COLT,TA-01,Texas Aircraft TA-01
COMU,H-1 Commuter,Helicom H-1 Commuter
CONI,C-121 Constellation,Lockheed C-121 Constellation
COOT,Taylor (2) Coot,Taylor (2) Coot
CORO,CA-21 Phantom,Corvus CA-21 Phantom
CORR,SD-27 Corriedale,Sivel SD-27 Corriedale
CORS,F4U Corsair,Chance Vought F4U Corsair
CORV,Corvus,Wolfsberg Corvus
COUG,Cougar,Nesmith Cougar
COUR,U-10 Super Courier,Helio U-10 Super Courier
COY2,S-6 Coyote 2,Rans S-6 Coyote 2
COZJ,CozyJet,Co-Z CozyJet
COZY,AeroCanard,Aerocad AeroCanard
CP10,CAP-10,Mudry CAP-10
CP13,Super Emeraude,Piel Super Emeraude (CP-1310/1315/1330)
CP20,CAP-20,Mudry CAP-20
CP21,CAP-21,Mudry CAP-21
CP22,G-222,Giles G-222
CP23,CAP-230,Mudry CAP-230
CP30,CP-30 Emeraude,Piel CP-30 Emeraude
CP32,Super Emeraude,Piel Super Emeraude (CP-320/325/328)
CP60,CP-60 Diamant,Piel CP-60 Diamant
CP65,CP-65 Collegiate,Porterfield CP-65 Collegiate
CP75,CP-70 Béryl,Piel CP-70 Béryl
CP80,CP-80 Zéphir,Piel CP-80 Zéphir
CP90,CP-90 Pinocchio 2,Piel CP-90 Pinocchio 2
CPNA,Capena,Pena Capena
CPUP,Sopwith Pup,Culp Sopwith Pup
CR10,CR-100,Dyn'Aero CR-100
CRA1,A-1 Eagle,Cranfield A-1 Eagle
CRAC,CJ-3 Cracker Jack,Plumb CJ-3 Cracker Jack
CRBN,50 Robin,Curtiss 50 Robin
CRER,S-7 Courier,Rans S-7 Courier
CRES,Cresco,Pacific Aerospace Cresco
CRIO,Corsario,Microleve Corsario
CRJ1,Regional Jet,Canadair Regional Jet CRJ-100
CRJ2,Regional Jet,Canadair Regional Jet CRJ-200
CRJ7,Regional Jet,Canadair Regional Jet CRJ-700
CRJ9,Regional Jet,Canadair Regional Jet CRJ-900
CRJX,Regional Jet,Bombardier Regional Jet CRJ-1000
CRUZ,SportCruiser,Czaw SportCruiser
CT4,CT-4 Airtrainer,Pacific Aerospace CT-4 Airtrainer
CTAH,Cheetah,Rainbow Skyreach Cheetah
CTLN,Catalina,Fly Synthesis Catalina
CUB2,Cuby 2,Aces High Cuby 2
CUCA,Cadet,Culver Cadet
CULP,Special,Culp Special
CULV,Culver V,Culver V
CULX,Culex,Fisher Aero Culex
CVLP,C-131 Samaritan,Convair C-131 Samaritan
CVLT,C-131H,Convair C-131H
CX5,Thatcher CX-5,Thatcher CX-5
CYCL,Skycycle,Carlson Skycycle
CYGT,Cygnet Replica,Hawker Cygnet Replica
D1,D-1 Derringer,Wing D-1 Derringer
D11,Jodel D-11,Jodel D-11
D139,D-139 Parandeh Abi,Dorna D-139 Parandeh Abi
D140,D-140 Mousquetaire,Jodel D-140 Mousquetaire
D150,D-150 Mascaret,Jodel D-150 Mascaret
D18,Jodel D-18,Jodel D-18
D201,D-201 Sportwing,D'Apuzzo D-201 Sportwing
D21,D-21 Replica,Fokker D-21 Replica
D228,Dornier 228,Dornier 228
D25,New Standard D-25,New Standard D-25
D250,DR-250 Capitaine,Centre Est DR-250 Capitaine
D253,DR-253 Regent,Centre Est DR-253 Regent
D28D,Do-28D Skyservant,Dornier Do-28D Skyservant
D28T,Do-28D-6 Turbo,Dornier Do-28D-6 Turbo Skyservant
D31,D-31 Turbulent,Druine D-31 Turbulent
D328,Dornier 328,Dornier 328
D39,Akaflieg Darmstadt,Akaflieg Darmstadt D-39
D4,Auster D-4,Auster D-4
D5,Auster D-5,Auster D-5
D5TU,D-5 Turbi,Druine D-5 Turbi
D6,Auster D-6,Auster D-6
D6CR,D-60 Condor,Druine D-60 Condor
D7,D-7 Replica,Fokker D-7 Replica
D8,D-8 Replica,Fokker D-8 Replica
DA2,Davis DA-2,Davis DA-2
DA36,DA-36 E-Star,Diamond DA-36 E-Star
DA40,DA-40 Diamond Star,Diamond DA-40 Diamond Star
DA42,DA-42 Twin Star,Diamond DA-42 Twin Star
DA5,Davis DA-5,Davis DA-5
DA50,DA-50 SuperStar,Diamond DA-50 SuperStar
DA62,DA-62,Diamond DA-62
DAHU,Pena Dahu,Pena Dahu
DAKH,Dakota Hawk,Fisher Dakota Hawk
DAL1,DAL-1 Tuholer,Spezio DAL-1 Tuholer
DAL4,D-4 Fascination,Dallach D-4 Fascination
DAL5,D-5 Evolution,Dallach D-5 Evolution
DART,Parrish Dart,Parrish Dart
DC10,DC-10,McDonnell Douglas DC-10
DC2,Douglas DC-2,Douglas DC-2
DC3,Douglas DC-3,Douglas DC-3
DC3S,Super DC-3,Douglas Super DC-3
DC3T,BT-67 Turbo 67,Basler BT-67 Turbo 67
DC4,Douglas DC-4,Douglas DC-4
DC6,Douglas DC-6,Douglas DC-6
DC7,Douglas DC-7,Douglas DC-7
DC85,DC-8-50,McDonnell Douglas DC-8-50
DC86,DC-8-60,McDonnell Douglas DC-8-60
DC87,DC-8-70,McDonnell Douglas DC-8-70
DC91,DC-9-10,McDonnell Douglas DC-9-10
DC92,DC-9-20,McDonnell Douglas DC-9-20
DC93,DC-9-30,McDonnell Douglas DC-9-30
DC94,DC-9-40,McDonnell Douglas DC-9-40
DC95,DC-9-50,McDonnell Douglas DC-9-50
DEAG,Double Eagle,Amax Double Eagle
DEFI,40 Defiant,Rutan 40 Defiant
DELF,Delfin,Lyavin Delfin
DFL6,DFL-6 Saphir,Damoure-Fabre DFL-6 Saphir
DFLY,Dragonfly,Viking (1) Dragonfly
DG15,DGA-15,Howard (1) DGA-15
DG1T,DG-1000T,Dg Flugzeugbau DG-1000T
DG40,DG-400,Glaser-Dirks DG-400
DG50,DG-500M,Glaser-Dirks DG-500M
DG60,DG-600M,Glaser-Dirks DG-600M
DG80,DG-800,Dg Flugzeugbau DG-800
DH2T,DHC-2 Mk3 Turbo,De Havilland Canada DHC-2 Mk3 Turbo Beaver
DH3T,DHC-3 Turbo Otter,De Havilland Canada DHC-3 Turbo Otter
DH4T,DHC-4 Turbo Caribou,De Havilland Canada DHC-4 Turbo Caribou
DH60,DH-60 Moth,De Havilland DH-60 Moth
DH80,DH-80 Puss Moth,De Havilland DH-80 Puss Moth
DH82,DH-82 Tiger Moth,De Havilland DH-82 Tiger Moth
DH83,DH-83 Fox Moth,De Havilland DH-83 Fox Moth
DH84,DH-84 Dragon,De Havilland DH-84 Dragon
DH85,DH-85 Leopard Moth,De Havilland DH-85 Leopard Moth
DH87,DH-87 Hornet Moth,De Havilland DH-87 Hornet Moth
DH88,DH-88 Comet Replica,De Havilland DH-88 Comet Replica
DH89,DH-89 Dragon Rapide,De Havilland DH-89 Dragon Rapide
DH8A,DHC-8-100 Dash 8,De Havilland Canada DHC-8-100 Dash 8
DH8B,DHC-8-200 Dash 8,De Havilland Canada DHC-8-200 Dash 8
DH8C,DHC-8-300 Dash 8,De Havilland Canada DHC-8-300 Dash 8
DH8D,DHC-8-400 Dash 8,De Havilland Canada DHC-8-400 Dash 8
DH90,DH-90 Dragonfly,De Havilland DH-90 Dragonfly
DH94,DH-94 Moth Minor,De Havilland DH-94 Moth Minor
DHA3,DHA-3 Drover,De Havilland Australia DHA-3 Drover
DHC1,DHC-1 Chipmunk,De Havilland DHC-1 Chipmunk
DHC2,DHC-2 Mk1 Beaver,De Havilland Canada DHC-2 Mk1 Beaver
DHC3,DHC-3 Otter,De Havilland Canada DHC-3 Otter
DHC4,DHC-4 Caribou,De Havilland Canada DHC-4 Caribou
DHC5,DHC-5 Buffalo,De Havilland Canada DHC-5 Buffalo
DHC6,DHC-6 Twin Otter,De Havilland Canada DHC-6 Twin Otter
DHC7,DHC-7 Dash 7,De Havilland Canada DHC-7 Dash 7
DIES,Dieselis,Pennec-Lucas Dieselis
DIJ3,Dijkhastar 3,Dijkman-Dulkes Dijkhastar 3
DIJ4,Dijkhastar 4,Dijkman-Dulkes Dijkhastar 4
DIMO,HK-36 Super Dimona,Diamond HK-36 Super Dimona
DINO,GAK-22 Dinó,Ganzavia GAK-22 Dinó
DIPR,Dipper,Collins Dipper
DISC,Discus 2T,Schempp-Hirth Discus 2T
DJET,DJ-1 D-Jet,Diamond DJ-1 D-Jet
DJIN,SO-1221 Djinn,Sud-Ouest SO-1221 Djinn
DLH2,E-1 Antares DLR-H2,Lange E-1 Antares DLR-H2
DNGO,Dingo,Aeroric Dingo
DO27,Do-27,Dornier Do-27
DO28,Do-28,Dornier Do-28
DOCX,ES-3 Doc's RX,Kovach-Elmendorf ES-3 Doc's RX
DON,Unikomtranso Don,Unikomtranso Don
DOVE,DH-104 Dove,De Havilland DH-104 Dove
DR1,Dr-1 Replica,Fokker Dr-1 Replica
DR10,DR-1050 Ambassadeur,Centre Est DR-1050 Ambassadeur
DR22,DR-220 2+2,Centre Est DR-220 2+2
DR30,DR-300,Robin DR-300
DR40,DR-400 2+2,Robin DR-400 2+2
DRAG,Dragon Fly,Dragon Fly Dragon Fly
DRIF,Drifter,Austflight Drifter
DRON,Drone (Not Official,(Any Manufacturer) Drone (Not Official - See VFHC)
DRTG,Dart G,Dart G
DSA1,DSA-1 Miniplane,Smith (1) DSA-1 Miniplane
DSK,DSK-1 Hawk,Killingsworth DSK-1 Hawk
DSLK,Skylark,Driggs Skylark
DT45,DART-450,Diamond DART-450
DTA1,D-1 Delta,Verhees D-1 Delta
DTA2,D-2 Delta,Verhees D-2 Delta
DUB2,2 Osa,Dubna 2 Osa
DUCE,Bakeng Duce,Bakeng Duce
DUOD,Duo Discus T,Schempp-Hirth Duo Discus T
DUR5,Durand Mk5,Durand Mk5
DV1,DV-1 Skylark,Dova DV-1 Skylark
DV2,DV-2 Infinity,Dova DV-2 Infinity
DV20,DV-20 Katana,Diamond DV-20 Katana
DW1,DW-1 Eagle,Eagle DW-1 Eagle
DWD2,Dewoitine D-26,Dewoitine D-26
DYH2,Dynali H-2,Dynali H-2
DYH3,H-3 EasyFlyer,Dynali H-3 EasyFlyer
E110,EMB-110 Bandeirante,Embraer EMB-110 Bandeirante
E120,EMB-120 Brasilia,Embraer EMB-120 Brasilia
E121,EMB-121 Xingu,Embraer EMB-121 Xingu
E135,ERJ-135,Embraer ERJ-135
E145,ERJ-145EP,Embraer ERJ-145EP
E170,ERJ-170-100,Embraer ERJ-170-100
E190,ERJ-190-100,Embraer ERJ-190-100
E195,ERJ-190-200,Embraer ERJ-190-200
E2,E-2 Hawkeye,Grumman E-2 Hawkeye
E200,EA-200,Extra EA-200
E230,EA-230,Extra EA-230
E275,ERJ-190-500,Embraer ERJ-190-500
E290,ERJ-190-300,Embraer ERJ-190-300
E295,ERJ-190-400,Embraer ERJ-190-400
E29E,EB-29DE,Binder (2) EB-29DE
E2CB,E-2 Cub,Taylor (1) E-2 Cub
E300,EA-300,Extra EA-300
E314,EMB-314 Super,Embraer EMB-314 Super Tucano
E350,Cessna E350,Cessna E350
E35L,EMB-135BJ Legacy,Embraer EMB-135BJ Legacy
E390,EMB-390,Embraer EMB-390
E3CF,E-3A (CFM56) Sentry,Boeing E-3A (CFM56) Sentry
E3TF,E-3A (TF33) Sentry,Boeing E-3A (TF33) Sentry
E400,EA-400,Extra EA-400
E45X,EMB-145XR,Embraer EMB-145XR
E500,EA-500,Extra EA-500
E50P,EMB-500 Phenom 100,Embraer EMB-500 Phenom 100
E530,E530 Scorpion,Cessna E530 Scorpion
E545,EMB-545 Praetor 500,Embraer EMB-545 Praetor 500
E550,EMB-550 Praetor 600,Embraer EMB-550 Praetor 600
E55P,EMB-505 Phenom 300,Embraer EMB-505 Phenom 300
E6,E-6 Mercury,Boeing E-6 Mercury
E737,737-700 Wedgetail,Boeing 737-700 Wedgetail
E75L,ERJ-170-200 (long,Embraer ERJ-170-200 (long wing)
E75S,ERJ-170-200 (short,Embraer ERJ-170-200 (short wing)
E767,E-767,Boeing E-767
E7BH,E-7 Bush Hog,E-7 Group E-7 Bush Hog
E8,E-8 Joint Stars,Northrop Grumman E-8 Joint Stars
EA40,Eclipse 400,Eclipse Eclipse 400
EA50,Eclipse 500,Eclipse Eclipse 500
EAEA,Easy Eagle,Grosso Easy Eagle
EAGL,Eagle,Christen Eagle
EAGT,American Eaglet,Ameagle American Eaglet
EAGX,Eagle 150,Eagle Aircraft Eagle 150
EB29,EB-29,Binder (2) EB-29
EBOY,20 El Boyero,FMA 20 El Boyero
EC20,EC-120 Colibri,Airbus Helicopters EC-120 Colibri
EC25,EC-225 Super Puma,Airbus Helicopters EC-225 Super Puma Mk2+
EC30,EC-130,Airbus Helicopters EC-130
EC35,EC-135,Airbus Helicopters EC-135
EC45,EC-145,Airbus Helicopters-Kawasaki EC-145
EC55,EC-155,Airbus Helicopters EC-155
EC6,EC-6 Criquet,Croses EC-6 Criquet
EC75,EC-175,Airbus Helicopters-Harbin EC-175
ECHO,P-92 Echo,Tecnam P-92 Echo
EDGE,Edge 540,Zivko Edge 540
EDGT,Edge 540 T,Zivko Edge 540 T
EF2,eFlyer 2,Bye Aerospace eFlyer 2
EFAN,E-Fan,Airbus E-Fan
EFOX,Eurofox,Aeropro Eurofox
EFUS,MG-11 eFusion,Magnus MG-11 eFusion
EGL3,Eagle 300T,Rotorway Eagle 300T
EGRT,D-500 Egrett 2,Grob D-500 Egrett 2
EH10,AW-101,AgustaWestland AW-101
EL10,ELA-10 Eclipse,Ela Aviacion ELA-10 Eclipse
EL20,IE-202,Elitar IE-202
ELA7,ELA-07,Ela Aviacion ELA-07
ELF,Parnall Elf,Parnall Elf
ELIT,Epic Elite,Epic Aircraft Epic Elite
ELPS,Ellipse,Explorer (1) Ellipse
ELSP,Ellipse Spirit,A2 Cz Ellipse Spirit
ELST,Elster,Putzer Elster
ELTO,El Tomcat,Continental Copters El Tomcat
ELTR,IE-101 Elitar,Elitar IE-101 Elitar
EM10,EM-10 Bielik,Marganski EM-10 Bielik
EM11,EM-11 Orka,Marganski EM-11 Orka
EN28,280 Shark,Enstrom 280 Shark
EN48,Enstrom 480,Enstrom 480
EP9,EP-9 Prospector,Lancashire EP-9 Prospector
EPER,Epervier,Epervier (1) Epervier
EPIC,E1000,Epic Aircraft E1000
EPX1,Epervier (2) X-1,Epervier (2) X-1
ERAC,E-Racer,Dickey E-Racer
ERCO,415 Ercoupe,Erco 415 Ercoupe
ES11,AH-130 Syton,Alpi AH-130 Syton
ES13,Spad 13 80%,Early Bird Spad 13 80%
ESCA,Epic Escape,Epic Aircraft Epic Escape
ESCP,Escapade,Just Escapade
ESQL,Esqualo,Moura Esqualo
ETA,Eta Aircraft Eta,Eta Aircraft Eta
ETAR,Super Etendard,Dassault Super Etendard
EUFI,Eurofighter 2000,Eurofighter Eurofighter 2000
EUPA,Europa,Europa Europa
EURT,Eurotrainer 2000,FFT Eurotrainer 2000
EV55,EV-55 Outback,Evektor EV-55 Outback
EV97,EV-97 EuroStar,Evektor EV-97 EuroStar
EVAN,4500 Evangel,Evangel 4500 Evangel
EVIC,Epic Victory,Epic Aircraft Epic Victory
EVOP,Evolution Piston,Lancair Evolution Piston
EVOT,Evolution Turbine,Lancair Evolution Turbine
EVSS,SportStar,Evektor SportStar
EX5T,Explorer 500T,AEA Explorer 500T
EXEC,Rotorway Exec,Rotorway Exec
EXEJ,JetExec,Rotorway JetExec
EXNG,Extra NG,Extra NG
EXPL,MD-900 Explorer,McDonnell Douglas MD-900 Explorer
EXPR,Express 2000RG,Express Express 2000RG
EZFL,E-Z Flyer,Blue Yonder E-Z Flyer
EZFT,Twin E-Z Flyer,Blue Yonder Twin E-Z Flyer
EZHV,E-Z Harvard,Blue Yonder E-Z Harvard
EZIK,Ezhik,Istra Ezhik
EZKC,E-Z King Cobra,Blue Yonder E-Z King Cobra
F1,Mitsubishi F-1,Mitsubishi F-1
F100,Fokker 100,Fokker 100
F104,F-104 Starfighter,Lockheed F-104 Starfighter
F106,QF-106 Delta Dart,Convair QF-106 Delta Dart
F111,F-111 Aardvark,General Dynamics F-111 Aardvark
F117,F-117 Nighthawk,Lockheed F-117 Nighthawk
F13,F-13 Replica,Junkers F-13 Replica
F14,F-14 Tomcat,Grumman F-14 Tomcat
F15,F-15 Eagle,McDonnell Douglas F-15 Eagle
F156,Fi-156 Storch,Fieseler Fi-156 Storch
F16,F-16 Fighting,General Dynamics F-16 Fighting Falcon
F18H,FA-18C Hornet,McDonnell Douglas FA-18C Hornet
F18S,FA-18E Super Hornet,McDonnell Douglas FA-18E Super Hornet
F1FV,F-1 Favorit,Avion F-1 Favorit
F2,Mitsubishi F-2,Mitsubishi F-2
F22,F-22 Raptor,Lockheed Martin F-22 Raptor
F260,SF-260,Siai-Marchetti SF-260
F26T,SF-260T,Siai-Marchetti SF-260T
F27,F-27 Friendship,Fokker F-27 Friendship
F28,F-28 Fellowship,Fokker F-28 Fellowship
F2TH,Falcon 2000,Dassault Falcon 2000
F30,F-30 Brio,Golden Car F-30 Brio
F35,F-35C Lightning 2,Lockheed Martin F-35C Lightning 2
F3F,F3F Replica,Grumman F3F Replica
F4,F-4 Phantom 2,McDonnell Douglas F-4 Phantom 2
F402,Falcon 402,Falcon Air Falcon 402
F406,F406 Caravan 2,Cessna F406 Caravan 2
F41E,F-41 El'brus,Aerosamara F-41 El'brus
F421,Falcon 421,Falcon Air Falcon 421
F5,F-5 Freedom Fighter,Northrop F-5 Freedom Fighter
F50,Fokker 50,Fokker 50
F5SA,S-100 Saeghe,Iriaf S-100 Saeghe
F60,Fokker 60,Fokker 60
F600,SF-600 Canguro,Vulcanair SF-600 Canguro
F70,Fokker 70,Fokker 70
F8,F8U Crusader,Chance Vought F8U Crusader
F86,F-86 Sabre,North American F-86 Sabre
F8L,F-8L Falco,Sequoia F-8L Falco
F900,Falcon 900,Dassault Falcon 900
F9F,F9F Panther,Grumman F9F Panther
FA01,FA-01 Saphir,Fläming Air FA-01 Saphir
FA02,FA-02 Smaragd VLA,Fläming Air FA-02 Smaragd VLA
FA03,FA-03 Smaragd TMG,Fläming Air FA-03 Smaragd TMG
FA04,FA-04 Peregrine,Fläming Air FA-04 Peregrine
FA10,Falcon 10,Dassault Falcon 10
FA11,F-11 Husky,Fairchild (2) F-11 Husky
FA20,Falcon 20,Dassault Falcon 20
FA24,F-24 Argus,Fairchild (1) F-24 Argus
FA50,Falcon 50,Dassault Falcon 50
FA62,PT-19 Cornell,Fairchild (1) PT-19 Cornell
FA6X,Falcon 6X,Dassault Falcon 6X
FA7X,Falcon 7X,Dassault Falcon 7X
FA8X,Falcon 8X,Dassault Falcon 8X
FAET,321 Faeta,Atec 321 Faeta
FALC,Falcon XP,American Aircraft Falcon XP
FALM,M-3 Falcon Major,Miles M-3 Falcon Major
FANL,FL-1 Fanliner,Rhein FL-1 Fanliner
FANT,Fantrainer,Rhein Fantrainer
FB1A,Fly Baby 1A,Bowers Fly Baby 1A
FB1B,Fly Baby 1B,Bowers Fly Baby 1B
FB5,FB-5 Star Light,Euro-Fly FB-5 Star Light
FBA2,FBA-2 Bush Hawk,Found FBA-2 Bush Hawk
FBIR,Freebird Mk5,Freewing Freebird Mk5
FC1,FC-1 Xiaolong,Chengdu FC-1 Xiaolong
FD2E,Flight Design F-2e,Flight Design F-2e
FDCT,Flight Design CT,Flight Design CT
FDF2,Flight Design F-2,Flight Design F-2
FDMC,Flight Design MC,Flight Design MC
FE51,Fighter Escort,Fighter Escort Wings P-51
FEST,R40S Festival,Aerostar (2) R40S Festival
FFLO,UA Forward Flight,(Any Manufacturer) UA Forward Flight Lift Only
FFLY,Firefly,Fairey Firefly
FG01,FG-01 Origan,Farigoux FG-01 Origan
FGT,Formula GT,Midwest Aerosport Formula GT
FH11,FH-1100,Fairchild Hiller FH-1100
FIBO,Firebolt Convertibl,Starfire Firebolt Convertible
FIKD,Fike D,Fike D
FIKE,Fike E,Fike E
FINC,16 Finch,Fleet 16 Finch
FJ10,FJ-100,Aerostar (1) FJ-100
FJR3,Fajr F-3,Fajr F-3
FK12,FK-12 Comet,B & F Technik FK-12 Comet
FK14,FK-14 Polaris,B & F Technik FK-14 Polaris
FK9,B & F Technik FK-9,B & F Technik FK-9
FL3,L-3 Aviastarlet,Avia (1) L-3 Aviastarlet
FL53,FL-53,Meteor FL-53
FL54,FL-54,Meteor FL-54
FL55,FL-55,Meteor FL-55
FLAM,MD-311 Flamant,Dassault MD-311 Flamant
FLCO,Falco,Selex Es Falco
FLE2,Fleet 2,Fleet 2
FLE7,7 Fawn,Fleet 7 Fawn
FLIZ,Z-1 Flitzer,Flitzer Z-1 Flitzer
FLSH,Flash,Euro-Fly Flash
FLSS,Flyer SS,Kolb Flyer SS
FM25,FM-250 Vampire,Flying Machines FM-250 Vampire
FMGO,Flamingo,AAK Flamingo
FN33,FN-333 Riviera,Siai-Marchetti FN-333 Riviera
FNKB,Funk B,Akron Funk B
FOOF,JD-2 Foo Fighter,Stewart (2) JD-2 Foo Fighter
FORT,60 Fort,Fleet 60 Fort
FOUG,CM-170R Magister,Fouga CM-170R Magister
