# Santo del giorno e nomi che festeggiano l'onomastico, per tutti i 366
# giorni. Formato: MM-GG;santo;nomi separati da virgola.
#
# Compilato dalle pagine giorno per giorno di Cathopedia (it.cathopedia.org,
# CC BY-SA) per il santo, e dagli elenchi degli onomastici per i nomi. E' un
# calendario, non cambia: sta qui dentro perche' il servizio funzioni anche
# senza rete.
#
# giorno;santo;nomi
03-27;San Ruperto di Salisburgo;Ruperto,Arcibaldo,Augusta
03-28;Santo Stefano Harding;Stefano,Doroteo
03-29;San Ludolfo di Ratzeburg;Ludolfo,Secondo
03-30;San Giovanni Climaco;Giovanni,Decimo,Regolo,Decio
03-31;San Guido di Pomposa;Guido,Cornelia,Beniamino
04-01;Sant'Ugo di Grenoble;Ugo,Dora,Irene,Bartolomea
04-02;San Francesco di Paola;Francesco,Abbondio,Ginevra,Igina,Irmina,Isacco
04-03;San Sisto I;Sisto,Riccardo
04-04;Sant'Isidoro di Siviglia;Isidoro,Platone
04-05;San Vincenzo Ferrer;Vincenzo,Diogene
04-06;San Pietro da Verona;Pietro,Celestino,Prudenzio,Celine
04-07;San Giovanni Battista de La Salle;Giovanni Battista,Cristiano,Ermanno
04-08;Sant'Agabo;Agabo,Dionigi,Macaria
04-09;Beato Antonio Pavoni;Antonio,Cleo,Cleofe,Ilda,Tancredi
04-10;Santa Maddalena di Canossa;Maddalena,Ezechiele
04-11;Sant'Antipa di Pergamo;Antipa,Angelo,Stanislao
04-12;San Giulio I;Giulio,Alfiero,Zeno,Zenone
04-13;Sant'Ermenegildo;Ermenegildo,Marzio
04-14;Sant'Alfonso da Siviglia;Alfonso,Ermenegildo
04-15;San Damiano de Veuster;Damiano,Anastasia,Annibale,Prisco
04-16;Santa Bernadette Soubirous;Bernadette,Grazia,Lamberto,Gioacchino
04-17;Sant'Acacio di Militene;Acacio,Aniceto,Arcangelo,Vanda,Isidora
04-18;San Calogero di Brescia;Calogero,Galdino
04-19;San Leone IX;Leone,Emma
04-20;Sant'Agnese da Montepulciano;Agnese,Adalgisa,Odetta,Sara,Ildegonda
04-21;Sant'Anselmo d'Aosta;Anselmo,Caio
04-22;Sant'Agapito I;Agapito,Leonida,Muzio,Virginio
04-23;San Giorgio;Giorgio,Adalberto,Norina
04-24;San Fedele da Sigmaringen;Fedele,Melissa,Tiberio,Onorio
04-25;San Marco evangelista;Marco,Franca,Erminio
04-26;San Marcellino;Marcellino,Alida,Anacleto
04-27;Santa Zita;Zita,Antimo
04-28;San Pietro Chanel;Pietro,Valeria,Pierluigi
04-29;Santa Caterina da Siena;Caterina,Rina
04-30;San Giuseppe Benedetto Cottolengo;Giuseppe,Rosamunda,Lodovico,Pio
05-01;San Giuseppe lavoratore;Giuseppe,Pasquale,Achille,Alfio,Amatore,Vivaldo
05-02;Sant'Antonino Pierozzi;Antonino,Celeste,Flaminio
05-03;San Filippo apostolo;Filippo,Viola,Violetta
05-04;San Floriano di Lorch;Floriano,Fulvio,Porfirio
05-05;Sant'Angelo da Gerusalemme;Angelo,Gottardo,Leo,Nunzio,Penelope,Tosca
05-06;San Pietro Nolasco;Pietro,Prudenzia,Violante,Annarosa
05-07;Sant'Antonio Pecerskij;Antonio,Augusto,Virginia,Flavia
05-08;San Benedetto II;Benedetto,Bonifacio,Diletta,Generoso,Norma,Dionisio
05-09;Sant'Isaia;Isaia,Luminosa,Carla,Carolina
05-10;San Giovanni d'Avila;Giovanni,Cataldo,Giobbe
05-11;San Francesco De Geronimo;Francesco,Stella,Fabio,Gandolfo,Velio
05-12;San Pancrazio;Pancrazio,Imelda,Nereo,Brancaleone,Dania
05-13;Beata Vergine Maria di Fatima;Maria,Fatima,Gherardo
05-14;San Mattia apostolo;Mattia,Ampelio,Cora,Gemma
05-15;Sant'Isidoro l'agricoltore;Isidoro,Torquato,Dionisia,Cassio
05-16;Sant'Ubaldo di Gubbio;Ubaldo,Margherita,Adamo,Teobaldo,Onorato
05-17;San Pasquale Baylon;Pasquale,Basilia,Basilea
05-18;San Felice da Cantalice;Felice,Venanzio,Erica,Luciana,Vincenza
05-19;San Celestino V;Celestino,Gisella,Ivone,Giselda
05-20;San Bernardino da Siena;Bernardino,Anastasio
05-21;San Carlo Eugenio de Mazenod;Carlo,Vittorio,Adalrico
05-22;Santa Rita da Cascia;Rita,Giulia,Annarita
05-23;San Desiderio di Langres;Desiderio,Giovanni
05-24;Beata Vergine Maria ausiliatrice;Maria,Albano
05-25;San Beda il Venerabile;Beda,Gregorio,Maria Maddalena,Adelmo,Orietta,Zenobio
05-26;San Filippo Neri;Filippo
05-27;Sant'Agostino di Canterbury;Agostino,Oliviero
05-28;Beato Lanfranco di Canterbury;Lanfranco,Emilio,Priamo
05-29;San Paolo VI;Paolo,Massimino
05-30;Santa Giovanna d'Arco;Giovanna,Ferdinando
05-31;Visitazione della Beata Vergine Maria;Battista,Petronilla
06-01;San Giustino;Giustino,Ermenegilda,Lia,Panfilo,Graziano
06-02;Sant'Erasmo di Formia;Erasmo,Alcibiade,Emilia,Foscolo,Consuelo,Elmo
06-03;San Carlo Lwanga e compagni;Carlo,Clotilde,Olivia,Ovidio
06-04;San Filippo Smaldone;Filippo,Isabella,Quirino,Rutilo
06-05;San Bonifacio di Magonza;Bonifacio,Fernando,Gualtiero
06-06;San Norberto di Magdeburgo;Norberto
06-07;Sant'Antonio Maria Gianelli;Antonio,Landolfo
06-08;San Medardo;Medardo,Dolcelino
06-09;San Colombano di Iona;Colombano,Efrem,Primo
06-10;San Massimo d'Aveia;Massimo,Diana,Ghita,Onofrio
06-11;San Barnaba apostolo;Barnaba,Fermo
06-12;Sant'Onofrio;Onofrio,Guido
06-13;Sant'Antonio di Padova;Antonio,Antonella,Anthony
06-14;Sant'Eliseo;Eliseo,Rosmunda,Valerio
06-15;Sant'Amos;Amos,Germana,Tristano,Vito,Enrica
06-16;Santa Giulitta e San Quirico;Giulitta,Quirico,Ferruccio,Giuditta
06-17;San Ranieri di Pisa;Ranieri,Adolfo,Geremia,Manuele
06-18;San Gregorio Barbarigo;Gregorio,Calogero,Marina,Osanna
06-19;San Romualdo;Romualdo,Gervasio,Protasio,Colmazio
06-20;San Giovanni da Matera;Giovanni,Consolata,Ettore,Benigna
06-21;San Luigi Gonzaga;Luigi,Marzia,Demetria,Demetra,Gigi,Gino
06-22;Sant'Albano d'Inghilterra;Albano,Eberardo,Flavio
